,local_time,cumulative_generated_energy (kwh),actual_generated_energy (kwh),exported_energy (kwh),consumed_energy (kwh)
1,2017-05-23 T08:30,9105,1.0,0.0,1.0
2,2017-05-23 T09:00,9106,1.0,0.0,1.0
3,2017-05-23 T09:30,9108,2.0,0.0,2.0
4,2017-05-23 T10:00,9111,3.0,0.0,3.0
5,2017-05-23 T10:30,9114,3.0,0.0,3.0
6,2017-05-23 T11:00,9118,4.0,0.0,4.0
7,2017-05-23 T11:30,9122,4.0,0.0,4.0
8,2017-05-23 T12:00,9126,4.0,0.0,4.0
9,2017-05-23 T12:30,9132,6.0,0.0,6.0
10,2017-05-23 T13:00,9137,5.0,0.0,5.0
11,2017-05-23 T13:30,9141,4.0,0.0,4.0
12,2017-05-23 T14:00,9146,5.0,0.0,5.0
13,2017-05-23 T14:30,9149,3.0,0.0,3.0
14,2017-05-23 T15:00,9154,5.0,0.0,5.0
15,2017-05-23 T15:30,9156,2.0,0.0,2.0
16,2017-05-23 T16:00,9157,1.0,0.0,1.0
17,2017-05-23 T16:30,9158,1.0,0.0,1.0
18,2017-05-23 T17:00,9159,1.0,0.0,1.0
19,2017-05-23 T17:30,9159,0.0,0.0,0.0
20,2017-05-23 T18:00,9159,0.0,0.0,0.0
21,2017-05-23 T18:30,9159,0.0,0.0,0.0
22,2017-05-23 T19:00,9159,0.0,0.0,0.0
23,2017-05-23 T19:30,9159,0.0,0.0,0.0
24,2017-05-23 T20:00,9159,0.0,0.0,0.0
25,2017-05-23 T20:30,9159,0.0,0.0,0.0
26,2017-05-23 T21:00,9159,0.0,0.0,0.0
27,2017-05-23 T21:30,9159,0.0,0.0,0.0
28,2017-05-23 T22:00,9159,0.0,0.0,0.0
29,2017-05-23 T22:30,9159,0.0,0.0,0.0
30,2017-05-23 T23:00,9159,0.0,0.0,0.0
31,2017-05-23 T23:30,9159,0.0,0.0,0.0
32,2017-05-24 T00:00,9159,0.0,0.0,0.0
33,2017-05-24 T00:30,9159,0.0,0.0,0.0
34,2017-05-24 T01:00,9159,0.0,0.0,0.0
35,2017-05-24 T01:30,9159,0.0,0.0,0.0
36,2017-05-24 T02:00,9159,0.0,0.0,0.0
37,2017-05-24 T02:30,9159,0.0,0.0,0.0
38,2017-05-24 T03:00,9159,0.0,0.0,0.0
39,2017-05-24 T03:30,9159,0.0,0.0,0.0
40,2017-05-24 T04:00,9159,0.0,0.0,0.0
41,2017-05-24 T04:30,9159,0.0,0.0,0.0
42,2017-05-24 T05:00,9159,0.0,0.0,0.0
43,2017-05-24 T05:30,9159,0.0,0.0,0.0
44,2017-05-24 T06:00,9159,0.0,0.0,0.0
45,2017-05-24 T06:30,9159,0.0,0.0,0.0
46,2017-05-24 T07:00,9159,0.0,0.0,0.0
47,2017-05-24 T07:30,9159,0.0,0.0,0.0
48,2017-05-24 T08:00,9160,1.0,0.0,1.0
49,2017-05-24 T08:30,9161,1.0,0.0,1.0
50,2017-05-24 T09:00,9166,5.0,0.0,5.0
51,2017-05-24 T09:30,9171,5.0,0.0,5.0
52,2017-05-24 T10:00,9179,8.0,0.0,8.0
53,2017-05-24 T10:30,9186,7.0,0.0,7.0
54,2017-05-24 T11:00,9193,7.0,0.0,7.0
55,2017-05-24 T11:30,9199,6.0,0.0,6.0
56,2017-05-24 T12:00,9203,4.0,0.0,4.0
57,2017-05-24 T12:30,9209,6.0,0.0,6.0
